timestamp_ms,process_cpu_percent,process_rss_bytes,process_vms_bytes,system_cpu_percent
1786954494988,0.0,33153024,125796352,0.0
1786954495490,0.0,33222656,125796352,0.0
1786954495992,2.0,33222656,125796352,0.5
1786954496494,0.0,33222656,125796352,0.0
1786954496996,0.0,33222656,125796352,0.5
1786954497498,0.0,33222656,125796352,0.5
1786954498001,0.0,33222656,125796352,0.0
1786954498503,0.0,33222656,125796352,0.0
1786954499005,0.0,33226752,125796352,0.5
1786954499508,2.0,33226752,125796352,1.0
1786954500011,0.0,33226752,125796352,1.0
1786954500515,0.0,33226752,125796352,0.0
1786954501019,0.0,33226752,125796352,0.0
1786954501522,2.0,33226752,125796352,0.0
1786954502027,0.0,33230848,125796352,1.5
1786954502530,2.0,33230848,125796352,0.0
1786954503033,0.0,33230848,125796352,1.5
1786954503537,0.0,33230848,125796352,0.0
1786954504040,2.0,33230848,125796352,1.0
1786954504544,0.0,33230848,125796352,0.0
1786954505047,0.0,33230848,125796352,2.0
1786954505550,2.0,33230848,125796352,0.0
1786954506053,0.0,33230848,125796352,1.0
1786954506556,0.0,33230848,125796352,0.5
1786954507059,0.0,33230848,125796352,1.0
1786954507562,2.0,33230848,125796352,0.5
1786954508065,0.0,33230848,125796352,1.0
1786954508568,0.0,33230848,125796352,0.0
1786954509071,4.0,33230848,125796352,1.0
1786954509576,0.0,33230848,125796352,0.5
1786954510079,7.9,34197504,277643264,3.0
1786954510582,0.0,34197504,277643264,0.5
1786954511084,2.0,34197504,277643264,1.0
1786954511588,0.0,34197504,277643264,0.0
1786954512091,4.0,34197504,277643264,0.5
1786954512595,2.0,34197504,277643264,0.5
1786954513098,0.0,34197504,277643264,1.5
1786954513602,2.0,34197504,277643264,0.5
1786954514105,4.0,34197504,277643264,1.0
1786954514608,0.0,34197504,277643264,1.0
1786954515115,2.0,34197504,277643264,0.5
1786954515619,2.0,34197504,277643264,1.5
1786954516124,2.0,34197504,277643264,0.5
1786954516628,2.0,34197504,277643264,0.5
1786954517131,2.0,34197504,277643264,0.5
1786954517635,0.0,34197504,277643264,1.0
1786954518139,4.0,34201600,277643264,1.0
1786954518643,0.0,34201600,277643264,1.0
1786954519147,4.0,34201600,277643264,1.0
1786954519650,0.0,34201600,277643264,0.5
1786954520154,2.0,34201600,277643264,0.5
1786954520658,2.0,34201600,277643264,2.0
1786954521161,2.0,34205696,277643264,1.5
1786954521664,2.0,34205696,277643264,0.5
1786954522168,2.0,34205696,277643264,0.5
1786954522672,0.0,34205696,277643264,0.5
1786954523175,4.0,34205696,277643264,1.5
1786954523679,0.0,34205696,277643264,0.5
1786954524182,4.0,34205696,277643264,0.5
1786954524685,0.0,34209792,277643264,1.0
1786954525188,2.0,34209792,277643264,1.0
1786954525692,0.0,34209792,277643264,1.0
1786954526196,4.0,34209792,277643264,1.5
1786954526700,2.0,34209792,277643264,0.0
1786954527203,2.0,34209792,277643264,1.0
1786954527707,2.0,34209792,277643264,1.0
1786954528210,2.0,34209792,277643264,1.0
1786954528714,0.0,34209792,277643264,0.5
1786954529218,4.0,34209792,277643264,1.0
1786954529722,0.0,34209792,277643264,1.0
1786954530225,2.0,34209792,277643264,1.0
1786954530729,2.0,34209792,277643264,0.5
1786954531233,2.0,34213888,277643264,1.5
1786954531737,0.0,34213888,277643264,1.0
1786954532241,2.0,34217984,277643264,0.5
1786954532745,2.0,34217984,277643264,1.0
1786954533250,2.0,34217984,277643264,1.5
1786954533753,2.0,34217984,277643264,0.5
1786954534256,2.0,34217984,277643264,1.0
1786954534759,2.0,34217984,277643264,0.5
1786954535263,4.0,34217984,277643264,2.0
1786954535766,0.0,34217984,277643264,0.0
1786954536269,2.0,34217984,277643264,1.5
1786954536772,0.0,34217984,277643264,0.5
1786954537276,4.0,34217984,277643264,0.5
1786954537779,2.0,34217984,277643264,1.0
1786954538283,2.0,34217984,277643264,0.5
1786954538786,0.0,34217984,277643264,1.5
1786954539289,2.0,34217984,277643264,1.0
1786954539793,2.0,34217984,277643264,0.5
1786954540297,2.0,34217984,277643264,1.0
1786954540800,2.0,34217984,277643264,0.5
1786954541303,4.0,34217984,277643264,1.0
1786954541807,0.0,34222080,277643264,1.0
1786954542310,2.0,34222080,277643264,0.0
1786954542814,0.0,34222080,277643264,0.5
1786954543318,2.0,34222080,277643264,1.5
1786954543821,2.0,34222080,277643264,0.5
1786954544325,2.0,34222080,277643264,1.0
1786954544830,2.0,34222080,277643264,0.5
1786954545333,2.0,34222080,277643264,1.0
1786954545837,2.0,34222080,277643264,1.5
1786954546341,2.0,34222080,277643264,0.5
1786954546845,0.0,34222080,277643264,1.0
1786954547348,4.0,34222080,277643264,0.5
1786954547852,2.0,34222080,277643264,0.5
1786954548356,2.0,34222080,277643264,1.0
1786954548859,2.0,34222080,277643264,1.5
1786954549362,2.0,34222080,277643264,0.5
1786954549866,0.0,34222080,277643264,0.5
1786954550369,2.0,34222080,277643264,0.5
1786954550873,0.0,34222080,277643264,1.0
1786954551376,4.0,34222080,277643264,1.0
1786954551880,0.0,34222080,277643264,0.5
1786954552383,2.0,34222080,277643264,0.5
1786954552887,2.0,34222080,277643264,0.5
1786954553391,2.0,34222080,277643264,1.0
1786954553895,2.0,34222080,277643264,1.0
1786954554398,2.0,34222080,277643264,0.5
1786954554902,2.0,34222080,277643264,1.5
1786954555405,0.0,34222080,277643264,0.5
1786954555909,4.0,34222080,277643264,1.0
1786954556413,2.0,34222080,277643264,1.0
1786954556916,0.0,34222080,277643264,0.5
1786954557419,4.0,34222080,277643264,1.0
1786954557922,0.0,34222080,277643264,0.5
1786954558426,2.0,34222080,277643264,1.0
1786954558930,2.0,34222080,277643264,1.5
1786954559434,2.0,34222080,277643264,0.5
1786954559937,2.0,34226176,277643264,0.5
1786954560441,2.0,34226176,277643264,0.5
1786954560945,0.0,34226176,277643264,1.5
1786954561448,2.0,34226176,277643264,1.0
1786954561952,2.0,34226176,277643264,1.0
1786954562456,4.0,34226176,277643264,0.5
1786954562959,0.0,34226176,277643264,1.5
1786954563463,2.0,34226176,277643264,0.5
1786954563967,2.0,34226176,277643264,1.0
1786954564473,2.0,34226176,277643264,1.0
1786954564977,2.0,34226176,277643264,1.5
1786954565481,0.0,34226176,277643264,0.0
1786954565984,2.0,34226176,277643264,1.0
1786954566488,2.0,34226176,277643264,1.0
1786954566992,2.0,34226176,277643264,1.5
1786954567497,2.0,34226176,277643264,1.0
1786954568001,2.0,34226176,277643264,1.0
1786954568504,2.0,34226176,277643264,0.5
1786954569007,2.0,34226176,277643264,2.0
1786954569511,2.0,34226176,277643264,1.0
1786954570015,2.0,34226176,277643264,1.0
1786954570518,0.0,34226176,277643264,1.0
1786954571021,4.0,34226176,277643264,1.0
1786954571525,0.0,34226176,277643264,0.0
1786954572029,4.0,34226176,277643264,1.5
1786954572533,0.0,34226176,277643264,0.5
1786954573036,2.0,34226176,277643264,1.0
1786954573540,2.0,34226176,277643264,0.5
1786954574043,4.0,34226176,277643264,1.5
1786954574547,0.0,34226176,277643264,0.5
1786954575052,2.0,34226176,277643264,2.5
1786954575555,0.0,34226176,277643264,0.5
1786954576058,4.0,34226176,277643264,1.5
1786954576562,0.0,34226176,277643264,0.5
1786954577066,2.0,34226176,277643264,1.5
1786954577570,2.0,34226176,277643264,0.0
1786954578073,2.0,34226176,277643264,1.5
1786954578577,2.0,34226176,277643264,0.5
1786954579080,2.0,34226176,277643264,1.0
1786954579583,0.0,34226176,277643264,0.5
1786954580087,4.0,34226176,277643264,1.0
1786954580591,0.0,34226176,277643264,0.0
1786954581094,4.0,34226176,277643264,2.0
1786954581598,0.0,34226176,277643264,0.5
1786954582101,2.0,34230272,277643264,1.0
1786954582605,2.0,34230272,277643264,1.0
1786954583111,2.0,34230272,277643264,1.5
1786954583615,0.0,34234368,277643264,0.0
1786954584120,4.0,34234368,277643264,1.5
1786954584624,0.0,34234368,277643264,1.0
1786954585128,4.0,34234368,277643264,0.0
1786954585633,0.0,34234368,277643264,0.5
1786954586136,4.0,34234368,277643264,1.0
1786954586640,0.0,34234368,277643264,0.5
1786954587144,2.0,34234368,277643264,2.5
1786954587648,2.0,34234368,277643264,0.5
1786954588152,2.0,34234368,277643264,0.0
1786954588655,0.0,34234368,277643264,1.0
1786954589160,4.0,34234368,277643264,1.0
1786954589664,0.0,34234368,277643264,1.0
1786954590167,4.0,34234368,277643264,1.5
1786954590671,0.0,34234368,277643264,0.5
1786954591175,2.0,34234368,277643264,1.5
1786954591679,0.0,34234368,277643264,0.0
1786954592182,6.0,34234368,277643264,1.5
1786954592686,0.0,34234368,277643264,0.5
1786954593190,2.0,34234368,277643264,0.5
1786954593694,2.0,34234368,277643264,1.0
1786954594198,2.0,34234368,277643264,0.5
1786954594701,0.0,34234368,277643264,0.5
1786954595205,2.0,34234368,277643264,1.0
